média,mediana,máximo,mínimo,desvio_padrão,platform_id
0.11490322580645163,0.11,0.13,0.1,0.005673733488314307,81b9ff906e3a4388b9f653bca589c7e4
1.623483870967742,1.68,1.97,1.36,0.13228435366455596,a9f174c82e60f7aebda7ac4556ef6c90
2.6324838709677416,2.74,2.92,1.91,0.2571312196920221,710097937adc911f775a21c036032e30
3.409032258064516,3.385,5.07,3.07,0.39875741332821013,c00f981fe7f83d64d677a18b9be6b6cc
2.9868709677419356,3.5149999999999997,4.13,-1.0,1.3055057233320664,3fb0fe7e8b694ea2976b9a9fdb17b296
3.907268817204301,4.04,5.31,2.2,1.014674900583766,c2c122422a0b46cab5dc4ba12d5debea
6.163645161290322,5.66,13.13,0.13,4.032288685345681,37aa0be814de45759b98feb79d9e402a
0.04792,0.038,0.116,0.03,0.022487949599053255,51af4954a9d23b4fa5a50e95c73a1d25
20.472806451612904,25.92,29.18,4.46,9.70609981669971,5c836bea305b4a51b6104ab2242b70b9
6.199193548387099,6.05,8.61,4.46,0.7939811985479015,14aa9fd8516148f280307066ff6a93ee
3.78625806451613,4.0,5.66,1.86,1.1731144884835805,523a33bd5cacb43bc8e364a0fd3fc877
3.869225806451613,4.04,5.89,1.86,1.2388871901355805,1b3fb56e1471711ab54a35e05a666a10
3.6157419354838707,3.6,5.53,1.73,1.0461072537085354,37297c5df6e0b30818a2a3a1a3a30b3f
25.008580645161288,27.515,31.46,14.96,5.631127249087616,a20ab6d48f0e44ffbbd08929b7d522ff
0.04792,0.038,0.116,0.03,0.022487949599053255,af68e6b04c6b4e71ab857391b16d677e
2.466483870967742,2.47,2.6,2.01,0.13447088470320837,29da8c2a5a7b8385a695b8ae3c2e9dfd
2.778032258064516,2.89,3.15,2.13,0.2904393484658707,c7bc9fa0d23543e6bb1c140b48045d1f
2.411290322580645,2.37,2.7,2.28,0.1183500904899927,476da9599ed84822b5bed602e7b3fbfb
1.75764,1.401,4.25,1.1,0.8231075578576613,f193f9f4621346b1b18edd513f223985
2.508741935483871,2.61,3.67,1.24,0.7549093032706158,0549bec310d9324ebac37f0e61f95319
2.375306451612903,2.31,2.76,1.75,0.25799037493847377,c0a30dffb2fcff05252423bc1a5f109a
1.0120645161290323,0.94,1.49,0.56,0.2344951522843024,2e7f37edcbc35097a3434518e2708a38
2.400483870967742,2.34,3.59,1.36,0.5900535531050488,7f23d78fa760b93f7ac33f39fd32a4e2
2.538870967741935,2.475,3.02,1.87,0.2455197567087739,8af36d702ff2bde8eb5343ad80542f7e
3.907268817204301,4.04,5.31,2.2,1.014674900583766,c2c122422a0b46cab5dc4ba12d5debea
3.7834838709677423,3.85,6.31,1.71,1.3374308044519316,0ba51543bb8a80319c5d9bef4147e38e
7.481669811320755,5.922000000000001,45.0,0.43,4.667168454517797,c572f1b2087446a592a664792528ae4b
11.522935483870967,12.21,45.0,0.43,5.791310092269362,6345b515caed44f8aa4ddc5692fcfaf3
3.209451612903226,3.49,3.85,1.83,0.5988073550484941,cc2eb75d60e630d4468540dbfd404387
1.4515806451612903,1.31,2.67,1.09,0.38112983748617235,adb2dd929e229d1c66928f7187005c8c
0.6440967741935485,0.765,1.06,0.16,0.2680367137629388,b57f640506ea4e4cb443493ab6eb4b1e
4.161129032258064,3.9,5.76,2.13,1.1730527551940346,16df5a18c17542cf811b8e0f9bf8714c
8.570612903225808,7.609999999999999,13.98,4.01,3.540456328599422,51963af3beb343a1899e67a7a433dee7
2.431903225806452,2.39,3.49,1.12,0.857642779734625,e3efa2fdb0da6bcaf0ad0b3c11b373c8
